1;Cólera;severa;http://www.msf.org/article/southern-niger-hit-cholera-outbreak ;;;Notificado un brote de cólera en el sur de Níger, más de 1000 personas afectadas, 20 fallecidos. Los distritos más afectados son Tamaske, Madaoua, Bouza Tahoua, Maradi, Madarounfa. Las epidemias de cólera en el país son frecuentes, teniendo carácter estacional.;;Niger;27/10/2014
2;Cólera;severa;http://www.times.co.zm/?p=40039 ;;;Notificados 2 casos de cólera en Lukanga Swamps en Kapiri Mposhi (Provincia Central).  Las autoridades sanitarias han emprendido una campaña de concienciación en el consumo de agua y pescado seguro de la zona. ;;Zambia;27/10/2014
3;Úlcera de Buruli;normal;http://allafrica.com/stories/201410221008.html ;;;Notificado un nuevo brote en la comunidad de Zeanzue en el distrito de Yellequelleh (Bong County). Los niños menores de 15 años son los más susceptibles;;Liberia;27/10/2014
4;Fiebre hemorrágica Crimea Congo;normal;http://www.khaleejtimes.com/kt-article-display-1.asp?section=middleeast&xfile=data/middleeast/2014/october/middleeast_october106.xml ;;;Notificado un brote de Fiebre hemorrágica Crimea-Congo en Omán. 1 fallecido y 6 afectados más. Los afectados habían tenido contacto con ganado enfermo probablemente introducido de forma ilegal en el país.;;Omán;27/10/2014
5;Sarampión;normal;http://www.solomonstarnews.com/news/national/4544-measles-kills-7-fight-not-over-yet-say-health-officials ;;;Notificados 7 fallecidos en relación con con brote de sarampión que sufre el país y que ha provocado 3802 casos en 10 provincias. Se ha iniciado una campaña de vacunación masiva a la población.  ;;Islas Salomón;27/10/2014
6;Anthrax;normal;mailto:a.fasanella@izsfg.it ;;;Notificado 1 caso de anthrax en Italia en Tramutola (provincia de Potenza, región Basilicata) en relación con ganado contaminado. El genotipo encontrado el el mismo que el de una epidemia de la enfermedad declarada en la misma zona en el 2011.;;Italia;28/10/2014
7;Sífilis;normal;http://www.portagedailygraphic.com/2014/10/26/syphillis-outbreak-in-winnipeg ;;;Notificado un brote de sífilis en Winnipeg. Más de 60 casos en los 10 primeros meses del 2014 (8-10 casos al mes, respecto a 1-2 que venía siendo lo habitual del 2007-2012) la mayoría de los casos se han diagnosticado en hombres que tienen sexo con hombres. Un tercio de ellos son VIH positivos. ;;Canadá;28/10/2014
8;Ciclones;normal;https://www.gov.uk/foreign-travel-advice/pakistan ;;;Las autoridades locales han pronosticado que el ciclón tropical Nilofar afectará a partes del sur del país a partir de la tarde del 29 de octubre.  Se recomienda estar atento a las las actualizaciones meteorológicas locales e internacionales y seguir los consejos de las autoridades locales.;;Pakistán;28/10/2014
9;Libertad de expresión;normal;https://www.gov.uk/foreign-travel-advice/iran ;;;En los últimos meses se ha venido denunciando un aumento en las detenciones en el país de ciudadanos que poseen doble nacionalidad al ser denunciados sobre su participación en actividades políticas y de derechos humanos.;;Irán;28/10/2014
10;Cólera;severa;http://www.citifmonline.com/2014/10/21/3-die-in-upper-east-cholera-outbreak/ ;;;Notificado un aumento de casos de cólera en la Upper East Region. La región ha registrado más de 100 casos de cólera en 10 de sus 13 distritos. 3 fallecidos.;;Ghana;28/10/2014
11;Fiebre Lassa;severa;http://www.360nobs.com/2014/10/oyo-state-reports-outbreak-of-lassa-fever/;;;Notificado un brote de fiebre de Lassa en el estado de Oyo, South West Nigeria. Se han confirmado 10 personas afectadas. La transmisión del virus sigue activa en el estado;;Nigeria (Oya);28/10/2014
12;Coronavirus;severa;http://www.moh.gov.sa/en/ccc/pressreleases/pages/default.aspx;;;Notificados 2 nuevos casos del nuevo coronavirus (MERS-CoV) en Arabia Saudita. Hasta el momento 779 casos, incluyendo 331 fallecidos.;;Arabia Saudita;28/10/2014
13;Rabia;normal;http://outbreaknewstoday.com/rabies-in-india-pune-reports-21st-human-rabies-death-of-2014/;;;Notificado un caso de rabia en Warapudi village en Indapur taluka en Pune. Se trata de un niño de 14 años. En lo que va de año se han notificado 21 casos en Pune. Fue atendido en el  Pune Municipal Corporation-run Naidu Infectious Diseases Hospital. La situación en Pune sólo es un ejemplo de lo que sucede en el resto de la India. Se calcula que en el país hay 30 millones de perros callejeros. 36% de los casos de rabia en el mundo ocurren en la India. La rabia no es aún una enfermedad de declaración obligatoria en la India. Según una encuesta realizada el 70% de la población de la India desconoce lo que es la rabia y un 30% no lava sus heridas tras ser mordido por un perro. Sólo un 60% de los mordidos reciben la vacuna.;;India;29/10/2014
14;Encefalitis equina Venezolana;normal;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/Review?page_refer=MapFullEventReport&reportid=16407;;;Notificado un brote de la enfermedad en Banana Bank, Banana Bank, Roaring Creek, Cayo en caballos, con el riesgo de potencial transmisión a humanos.;;Belice;29/10/2014
15;Encefalitis equina Venezolana;normal;http://www.oie.int/wahis_2/public/wahid.php/Reviewreport/semestrial/review?year=2013&semester=0&wild=0&country=GTM&this_country_code=GTM&detailed=1;;;Guatemala notificó 18 brotes de Encefalitis equina Venezolana en el 2013.  Con el riesgo implícito de transmisión a humanos.;;Guatemala;29/10/2014
16;Leishmaniosis visceral;normal;http://www.reporteepidemiologico.com/wp-content/uploads/2014/10/REC-1466.pdf;;;Según revela un estudio, el 95% de los perros vagabundos estudiados en San Ignacio (Misiones) padece leishmaniosis;;Argentina;29/10/2014
17;Anaplasmosis;normal;http://www.reporteepidemiologico.com/wp-content/uploads/2014/10/REC-1466.pdf;;;Notificado un aumento en los casos de anaplasmosis en Maine. 133 casos de esta  enfermedad bacteriana transmitida por garrapatas en los primeros nueve meses de 2014, respecto a los 94 casos de todo el 2013. A nivel nacional, el número de casos de anaplasmosis  ha aumentado de manera constante desde que se convirtió en enfermedad de notificación obligatoria, de 348 casos en 2000, a 1761 casos en 2010. Otras enfermedades transmitidas por garrapatas también están en aumento en Maine. El número de casos de babesiosis se encuentra ahora en 33 casos y el de la enfermedad de Lyme está en cerca de 1.000, y se espera que aumente aún más, ya que la notificación de esta última enfermedad es pasiva, y puede requerirse de un par de meses para contabilizar todos los casos.;;Estados Unidos;29/10/2014
18;Huelga;normal;http://www.hosteltur.com/181080_huelga-tripulantes-cabina-tap.html;;;Convocada una huelga de tripulantes de cabina en TAP Portugal los días 30 de octubre, 1 de noviembre, 13 de noviembre y 2 de diciembre.;;Portugal;29/10/2014
19;Chlororivirus ATCV-1;normal;http://www.pnas.org/content/early/2014/10/23/1418895111.abstract;http://news.sciencemag.org/biology/2014/10/algal-virus-found-humans-slows-brain-activity;;Un estudio preliminar ha puesto de relevancia como el Chlorovirus ATCV-1, un virus de algas puede infectar al ser humano asociándose con cambios en las funciones cognitivas;;UNIVERSO;30/10/2014
20;Bacillus cereus;normal;http://www.dailymail.co.uk/news/article-2810943/Pass-sick-bag-Dozens-Japanese-tourists-struck-food-poisoning-tour-bus.html;;;Notificado un brote de gastroenteritis aguda provocada probablemente por bacillus cereus al consumir algún alimento contaminado en un grupo de turistas japoneses. 25 afectados 4 de ellos han tenido que ser atendidos en el Liverpool Hospital. ;;Australia (Brisbane);30/10/2014
21;Gripe Aviar;normal;http://www.cidrap.umn.edu/news-perspective/2014/10/avian-flu-scan-oct-27-2014;;;Un estudio ha detectado el virus de la gripe aviar H10N8 entre algunos trabajadores de una granja al sur de China, provincia de Guangdong. Se encuentran asintomáticos. Se trata de un serotipo detectado por primera vez en humanos en noviembre de 2013;;China (Guandong);30/10/2014
